zip_code,year,month,avg
10001,2003,1,916306.818181818
10001,2003,2,808750
10001,2003,3,955278.8
10001,2003,4,943750
10001,2003,5,696285.714285714
10001,2003,6,949142.857142857
10001,2003,7,849693
10001,2003,8,894545.454545455
10001,2003,9,886615.384615385
10001,2003,10,2641416.66666667
10001,2003,11,1200625
10001,2003,12,712653.777777778
10001,2004,1,412500
10001,2004,2,657886.083333333
10001,2004,3,848714.285714286
10001,2004,4,1950719.55555556
10001,2004,5,813342.636363636
10001,2004,6,863400
10001,2004,7,1435019.1
10001,2004,8,788934.111111111
10001,2004,9,1624044.25
10001,2004,10,1461122
10001,2004,11,1295749
10001,2004,12,1034162.2
10001,2005,1,1228750
10001,2005,2,2740734
10001,2005,3,1189142.85714286
10001,2005,4,30858750
10001,2005,5,1090000
10001,2005,6,1007222.22222222
10001,2005,7,2582285.71428571
10001,2005,8,25167222.2222222
10001,2005,9,2407142.85714286
10001,2005,10,1410500
10001,2005,11,1063333.33333333
10001,2005,12,996513.555555556
10001,2006,1,1849249.34482759
10001,2006,2,2804468.07142857
10001,2006,3,2163386.3125
10001,2006,4,1509767.84615385
10001,2006,5,1779021.33333333
10001,2006,6,1499218.2
10001,2006,7,1602500
10001,2006,8,1745758
10001,2006,9,1001387.14285714
10001,2006,10,700250
10001,2006,11,1814166.66666667
10001,2006,12,1613601.25
10001,2007,1,1151838.78571429
10001,2007,2,905578
10001,2007,3,518457.153846154
10001,2007,4,1042695.8125
10001,2007,5,763745.0625
10001,2007,6,1285810.5
10001,2007,7,3120513.94736842
10001,2007,8,3773644.26666667
10001,2007,9,2759808.46153846
10001,2007,10,793750
10001,2007,11,1091364.84375
10001,2007,12,1824290.45833333
10001,2008,1,2227175.55
10001,2008,2,1234490.4
10001,2008,3,1195444.125
10001,2008,4,1032782.70588235
10001,2008,5,1790986.94117647
10001,2008,6,1436883.78571429
10001,2008,7,820000
10001,2008,8,1048872
10001,2008,9,1704833.33333333
10001,2008,10,1277064.14285714
10001,2008,11,1141150.16666667
10001,2008,12,1164600
10001,2009,1,534581
10001,2009,2,616666.666666667
10001,2009,3,750000
10001,2009,4,660403.666666667
10001,2009,5,949134
10001,2009,6,0
10001,2009,7,976486.333333333
10001,2009,8,888750
10001,2009,9,1171000
10001,2009,10,559400
10001,2009,11,1413333.33333333
10001,2009,12,18203996.1428571
10001,2010,1,380835
10001,2010,2,38342600.5
10001,2010,3,1421873.58333333
10001,2010,4,1557893.45454545
10001,2010,5,1245007.4
10001,2010,6,1243309.88235294
10001,2010,7,1245570
10001,2010,8,1783097
10001,2010,9,1694214.16666667
10001,2010,10,1012857.14285714
10001,2010,11,1376000
10001,2010,12,1732285.57142857
10001,2011,1,1432360.25
10001,2011,2,1467583.33333333
10001,2011,3,1552168.64285714
10001,2011,4,1084136.35294118
10001,2011,5,1462619.75
10001,2011,6,1822534.375
10001,2011,7,1583445.91666667
10001,2011,8,1524267.85714286
10001,2011,9,2537947.2
10001,2011,10,1639032
10001,2011,11,4539132.375
10001,2011,12,1327983
10001,2012,1,1602211.875
10001,2012,2,1671434.125
10001,2012,3,1010714.8
10001,2012,4,2197319
10001,2012,5,1207856.35294118
10001,2012,6,29728533
10001,2012,7,1417093
10001,2012,8,1065501.65384615
10001,2012,9,2499741.3
10001,2012,10,1518078
