zip_code,year,avg
10001,2003,985242.612244898
10001,2004,1223372.85714286
10001,2005,6944725.73809524
10001,2006,1785835.65625
10001,2007,1640491.76719577
10001,2008,1451334.6796875
10001,2009,2946425.31578947
10001,2010,2893142.07368421
10001,2011,1762753.43478261
10001,2012,3548544.77647059
10001,2013,2585591.48965517
10001,2014,2107603.11428571
10002,2003,506253.189944134
10002,2004,741453.879518072
10002,2005,991727.374233129
10002,2006,996494.263779528
10002,2007,1327904.64285714
10002,2008,1407847.17687075
10002,2009,363164.511811024
10002,2010,965073.090277778
10002,2011,832268.904
10002,2012,1616791.29444444
10002,2013,1443483.5492228
10002,2014,1656234.77310924
10003,2003,690007.287671233
10003,2004,1320413.25098039
10003,2005,1733924.18222222
10003,2006,1725586.13304721
10003,2007,1499106.78983834
10003,2008,2119963.37662338
10003,2009,1612007.91358025
10003,2010,2637629.57312253
10003,2011,2078369.02739726
10003,2012,2065817.31418919
10003,2013,3057545.87739464
10003,2014,1798896.60069444
10004,2003,1782610.64
10004,2004,1553462.84615385
10004,2005,0
10004,2006,614947.340909091
10004,2007,5287500
10004,2008,990399.791666667
10004,2009,1168725.904
10004,2010,867201.326996198
10004,2011,893109.074626866
10004,2012,3145333.6056338
10004,2013,820806.934065934
10004,2014,990326.128571429
10005,2003,3318215
10005,2004,11444961.5384615
10005,2005,1011769.22972973
10005,2006,922624.226611227
10005,2007,960535.808139535
10005,2008,1060237.34594595
10005,2009,892687.530726257
10005,2010,919423.54109589
10005,2011,1977775.84337349
10005,2012,886662.089820359
10005,2013,921810.803571429
10005,2014,1119411.15231788
10006,2003,3062500
10006,2004,32812135.3333333
10006,2005,2059075
10006,2006,986214.272727273
10006,2007,796815.014354067
10006,2008,976980.777070064
10006,2009,583662.784313726
10006,2010,598876.604651163
10006,2011,861617.564516129
10006,2012,1241870.72727273
10006,2013,1213640.01
10006,2014,1649380.14423077
10007,2003,1077406.19298246
10007,2004,2619817.54368932
10007,2005,1119648.71052632
10007,2006,1988945
10007,2007,1657626.82919255
10007,2008,2159728.06460674
10007,2009,2078194.16521739
10007,2010,1884641.16363636
10007,2011,1664453.80672269
10007,2012,1988626.10344828
10007,2013,2138556.70440252
10007,2014,3434394.36842105
10009,2003,480833.504504504
10009,2004,655682.576576577
10009,2005,1164097.01709402
10009,2006,39458498.8085106
10009,2007,2007563.48113208
10009,2008,1089554.66120219
10009,2009,605435.295081967
10009,2010,1317224.40217391
10009,2011,1685360.97619048
10009,2012,1940248.44680851
10009,2013,2855126.18461538
10009,2014,54883032.8809524
10010,2003,744692.020618557
10010,2004,989476.625766871
10010,2005,1166326.088
10010,2006,1895677.83700441
10010,2007,2040793.22222222
10010,2008,1247345.96111111
10010,2009,1455977.08938547
10010,2010,1638673.57476636
10010,2011,1991569.83478261
10010,2012,1389645.31675393
10010,2013,3399253.5530303
10010,2014,3661916.86382979
10011,2003,887756.618686869
10011,2004,1542387.40857143
10011,2005,1348048.90585774
10011,2006,1228118.03002611
10011,2007,1785856.79509632
10011,2008,1624338.48268156
10011,2009,1464667.61716172
10011,2010,1993531.70623742
10011,2011,2218399.57078652
10011,2012,2174187.72945205
10011,2013,2587193.29541596
10011,2014,3521007.71323529
10012,2003,1751348.94630872
10012,2004,1546374.35714286
10012,2005,1836885.1682243
10012,2006,2133342.27536232
10012,2007,2203737.28658537
10012,2008,2580479.00724638
10012,2009,2085904.94690265
10012,2010,1822693.64661654
10012,2011,2589193.70866142
10012,2012,3767517.50273224
10012,2013,2976462.44502618
10012,2014,4082266.2300885
10013,2003,1671998.51601423
10013,2004,1651099.33769634
10013,2005,1854029.97619048
10013,2006,2159696.03603604
10013,2007,2267144.59219089
10013,2008,2039861.82133333
10013,2009,1763174.50367647
10013,2010,2452412.32019704
10013,2011,2519047.62138728
10013,2012,2709565.29493088
10013,2013,3033850.05982906
10013,2014,3038464.3264095
10014,2003,952996.53559322
10014,2004,1671305.06617647
10014,2005,2048075.9550173
10014,2006,2659013.44150943
10014,2007,2309207.62068966
10014,2008,2376914.50862069
10014,2009,2549171.09205021
10014,2010,2606461.06593407
10014,2011,3081587.90789474
10014,2012,2587554.2767624
10014,2013,3136554.32513661
10014,2014,5200071.98522167
10016,2003,462857.879875195
10016,2004,862669.706935123
10016,2005,1154378.73166927
10016,2006,1453460.34133791
10016,2007,1420258.0552659
10016,2008,1185125.68428005
